,location_code,location_region_code,postcode,geocode,th_province,en_province,th_district,en_district,th_subdistrict,en_subdistrict,latitude,longitude
0,103800003,104900005 ,10200,10200,กรุงเทพมหานคร,Bangkok,เขตพระนคร,Phra Nakhon,แขวงพระบรมมหาราชวัง,Phraborom Maharatchawang,13.751289000000002,100.49209599999999
1,103800004,104900005 ,10200,10200,กรุงเทพมหานคร,Bangkok,เขตพระนคร,Phra Nakhon,แขวงวังบูรพาภิรมย์,Wang Burapha Phirom,13.743908,100.49895
2,103800005,104900005 ,10200,10200,กรุงเทพมหานคร,Bangkok,เขตพระนคร,Phra Nakhon,แขวงวัดราชบพิธ,Wat Ratchabophit,13.749939999999999,100.499146
3,103800006,104900005 ,10200,10200,กรุงเทพมหานคร,Bangkok,เขตพระนคร,Phra Nakhon,แขวงสำราญราษฎร์,Samran Rat,13.751119000000001,100.503365
4,103800007,104900005 ,10200,10200,กรุงเทพมหานคร,Bangkok,เขตพระนคร,Phra Nakhon,แขวงศาลเจ้าพ่อเสือ,San Chaopho Suea,13.753960000000001,100.49707
5,103800008,104900005 ,10200,10200,กรุงเทพมหานคร,Bangkok,เขตพระนคร,Phra Nakhon,แขวงเสาชิงช้า,Sao Chingcha,13.753407000000001,100.50022
6,103800009,104900005 ,10200,10200,กรุงเทพมหานคร,Bangkok,เขตพระนคร,Phra Nakhon,แขวงบวรนิเวศ,Bowon Niwet,13.757275,100.50140999999999
7,103800010,104900005 ,10200,10200,กรุงเทพมหานคร,Bangkok,เขตพระนคร,Phra Nakhon,แขวงตลาดยอด,Talat Yot,13.759570000000002,100.497536
8,103800011,104900005 ,10200,10200,กรุงเทพมหานคร,Bangkok,เขตพระนคร,Phra Nakhon,แขวงชนะสงคราม,Chana Songkhram,13.7618685,100.49464
9,103800012,104900005 ,10200,10200,กรุงเทพมหานคร,Bangkok,เขตพระนคร,Phra Nakhon,แขวงบ้านพานถม,Ban Phan Thom,13.761809,100.50304
10,103800013,104900005 ,10200,10200,กรุงเทพมหานคร,Bangkok,เขตพระนคร,Phra Nakhon,แขวงบางขุนพรหม,Bang Khun Phrom,13.764753,100.50546
11,103800014,104900005 ,10200,10200,กรุงเทพมหานคร,Bangkok,เขตพระนคร,Phra Nakhon,แขวงวัดสามพระยา,Wat Sam Phraya,13.767853,100.499176
12,103800016,104900005 ,10300,10300,กรุงเทพมหานคร,Bangkok,เขตดุสิต,Dusit,แขวงดุสิต,Dusit,13.772851000000001,100.51231
